,address,sale_price,property_tax_2016,lot_size,square_feet,main_sqft,zillow_bedrooms,plumbing,year_built,type,neighborhood,zillow_finished_sqft,elementaryschool,segments,is_condo,roof,exteriormaterial,parkingtype,heatingsystem,coolingsystem,architecture,homedescription,on_zillow,sale_month_key
9466,14411 SE EVERGREEN CT,343000,4625.99,10331,2064,1300,4,3.0,1982,1 STY W/BSMT,PLEASANT VALLEY,1924,,8,0,Shake / Shingle,Cement / Concrete,Carport,Forced air,Central,Ranch / Rambler,"Original owners.  Includes 2 out buildings, quiet cul de sac, mature trees, ample parking, newer low maintenance trex decking on 3 sides of the house, concrete patios, easy care yard, built in vacuum system, gas dryer, furnace, hot water, and stove, central air, 50 year roof (5 yrs old), recently painted inside and out, lower and upper cabinets in the garage, basement wood stove,",1,23
9467,14412 SE CANNON ST,340000,5031.66,4500,2422,1242,5,3.5,2006,2 OR MORE STY W/BSMT,POWELLHURST-GILBERT,2422,,5,0,Composition,Cement / Concrete,,Forced air,,,"HUGE REDUCTION! Very nice 5 bedroom house on quiet cul de sac! Great features include: NEW int paint/carpet/SS apps, block away from hiking trails (Powell Butte), 3 bathrooms, family rm w/fireplace, deck, fenced backyard, covered porch, formal dining, and SO much more! You will LOVE this! Buyer to perform due diligence & verify ALL info (schls,lines,sq ft,utilities, etc ).",1,22
9468,14439 SE TENINO ST,400000,5763.84,8970,2616,1364,5,2.5,1987,2 OR MORE STY W/BSMT,PLEASANT VALLEY,2616,,6,0,Composition,Wood,Garage - Attached,Forced air,Central,Contemporary,Private setting...backing to a green space.Separate family room & living room.Vaulted living & dining areas. Newer furnace & hot water heater.Newer flooring on main level.Kitchen has refinished cabinetry & new counter tops. All decking is Trex decking.Established Mt Scott neighborhood... feels rural but only minutes from I 205.,1,24
9469,14443 SE CLATSOP ST,388000,5150.45,6299,2235,1219,4,3.0,2007,2 OR MORE STY,PLEASANT VALLEY,2235,pleasant valley,5,0,Composition,Stone,Garage - Attached,Forced air,,Contemporary,"Exceptional quality home. 9' ceiling, private & quiet fenced backyard w/deck. 4 bedroom & 2.1 bath. Beautiful hardwood floor on main. Master suite w/vaulted ceiling, ceiling fan, walk-in closet. Family rm w/fireplace and built-in bookshelf connects to kitchen w/custom finish cabinets, slab granite counter top, crown molding, nook & new S/S appliances. Open railing staircase. Living rm connects to dinning. Must see this home.",1,27
9470,14505 SE CLATSOP ST,379900,4953.85,5399,2185,857,4,2.5,2007,2 OR MORE STY,PLEASANT VALLEY,2185,pleasant valley,4,0,Composition,Vinyl,Garage - Attached,Forced air,Central,,"Wonderful roomy home backs to forested greenspace. New carpet, Maple flooring, Granite slab in kitchen w/ stainless applicants , Vaulted ceilings, Beautiful master bath w/ double vanity, tile floors & walk-in closet. 4 bedrooms + 1 Large bonus room easily made into 5th bedroom.",1,23
9471,14517 SE DUKE ST,546500,6599.85,7984,3043,1644,4,3.5,2006,2 OR MORE STY W/BSMT,PLEASANT VALLEY,3043,gilbert park,6,0,Composition,Cement / Concrete,,Forced air,Central,,"This beautiful custom home features a open floor plan with high ceilings that makes it so light and bright with a view of what feels like a forest from every room. There are heated tile floors in the kitchen, master bath and office. Stunning granite in the chef''s kitchen. There is a kitchen and mini sauna downstairs and bonus upstairs, plenty of room for everyone.Easy access to I-205. Must see to appreciate all this home has to offer.",1,22
9473,14525 SE DUKE ST,478830,8128.24,8000,2572,1209,5,3.5,2005,2 OR MORE STY,PLEASANT VALLEY,3771,gilbert park,8,0,Composition,Cement / Concrete,Garage - Attached,Forced air,Central,Craftsman,"Beautiful Craftsman home for only $130 per ft.  Home features Travertine entry, white oak floors, granite counters, cook island, 5 burner gas cook top, 3 fireplaces, 5 bedrooms 3 1/2 baths master suit with jetted tub, laundry room upstairs, gas appliances, 2 furnaces, Private yard that backs to environmental conservation district.  All of this and a convenient location too.",1,29
9475,14545 SE CRYSTAL ST,424000,5966.3,6750,2914,1347,4,3.0,2007,2 OR MORE STY,PLEASANT VALLEY,2914,,5,0,,,,,,,"This beautiful 2- story Pleasant Valley Home is located in the highly desirable Cambridge Creek Neighborhood and features a covered front patio entry. The main entrance features beautiful slate flooring and to the right is the open formal living room. Adjacent to the formal living room is the formal dining room with a beautiful chandelier. The SPACIOUS kitchen includes ample cabinetry, granite countertops, hardwood floors, all appliances, large pantry and plenty of lighting. Off the kitchen are French doors that will lead you to the HUGE deck and fully fenced yard, great for entertaining! Across from the kitchen is the LARGE family room with a gas fireplace, built in cabinets and vaulted ceilings with large windows to help brighten the room. There is a powder room also conveniently located downstairs. Adjacent to the powder room is the 2-car garage with garage door opener, shelving and high ceilings. The GORGEOUS staircase will lead you to the four bedrooms and two full baths. The linen closet and two guest bedrooms are to your immediate right. At the top of the stairs is the guest bathroom with dual sinks, tile countertops and flooring, and ample cabinetry. The second floor also boasts a large loft which overlooks the family room. With the large windows, the loft makes a great office, playroom or a cozy sitting room. The laundry room features a full size washer and dryer and more cabinets for all your laundry needs. The HUGE master bedroom is to your immediate left of the staircase. It includes a spacious bathroom with tile flooring and countertops, dual sinks, soaking tub, separate shower and a large walk-in master closet. The fourth bedroom is across the master bedroom. A 12-month lease is required and prospective applicants must pass a credit and criminal background check. Screening fee is $40 application per adult. The security deposit is equal to one month's rent. Pets are welcome with restrictions and an additional security deposit. Nearby schools include Pleasant Valley Elementary, Centennial Middle School and Centennial High School. Please call Sylvia at 503.347.7001 to schedule a tour of your new home! This must see home is ready for immediate move-in and will go quickly!",1,28
9476,14607 SE CRYSTAL ST,410000,5698.27,6750,2567,1187,3,3.0,2007,2 OR MORE STY,PLEASANT VALLEY,2567,pleasant valley,5,0,Composition,Cement / Concrete,Garage - Attached,Forced air,,,"Beautiful 3 beds, 2.5 baths home with private backyard setting in Pleasant Valley! Great layout with formal living & dining room, kitchen open to main living area. Spacious master bed with shower/tub & walk in closet. Good size bedrooms. Kitchen with granite counter top & subway tile backsplash. Home is just minutes away from Happy Valley park and shopping centers. Call your agent to see it today!!!",1,26
9478,14638 SE CENTER ST,308000,3624.34,7000,1460,1060,3,2.0,1973,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,1576,,6,0,Composition,Wood,Garage - Attached,Forced air,Central,Split-level,"Centennial Tri-level home features  fresh and updated sun-filled rooms. Complete with new tile and wood floors, central vac and double car garage with extra storage. Entertain friends and family with a spacious fenced backyard, wood burning fireplace and family room complete with wet bar and side entrance to yard.",1,24
9479,14700 SE RHINE ST,445000,8977.11,23660,2827,1265,3,2.5,2007,2 OR MORE STY,CENTENNIAL COMMUNITY ASSOCIATION,2827,,4,0,Shake / Shingle,Cement / Concrete,Garage - Attached,Forced air,Central,Other,"Custom Centennial Home on Oversized .54 Acre Lot zoned R5. Open floorplan with high ceilings and hardwoods throughout main. Living room and Formal dining room. Kitchen with granite counters, backsplash and island with breakfast bar. Dining Nook with slider to deck. Spacious family room. Master Suite with large bathroom and walk-in closet. Two spare bedrooms. Open Loft. Attached oversized two car garage. Close to Powell Butte Nature Park",1,28
9480,14702 SE RHONE ST,335000,4238.44,18248,2337,1052,3,2.5,1951,2 OR MORE STY,CENTENNIAL COMMUNITY ASSOCIATION,1927,pleasant valley,8,0,,Vinyl,,Forced air,,,"Quietly nestled among the trees, with gleaming hardwoods & a sophisticated charm of art deco design. Two complete, separate living areas if desired. Deluxe: sinks, faucets, counters & gas range. Large lot with Leach Botanical Garden inspired yard design: native vegetation & exotic plants. Property has Shop & Studio/storage. Home is steps away from Powell Butte & Springwater Trail!",1,28
9481,14814 SE GLADSTONE ST,0,3115.49,7000,1008,1008,3,1.0,1963,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1075,pleasant valley,4,0,Shake / Shingle,Wood,Garage - Attached,Heat Pump,None,Ranch / Rambler,"Liens attached to the property =  $47,887.07 and growing interest everyday from the City of Portland.  Currently in Foreclosure and true amount owing is $212,000 plus city liens of $47,887.07",1,28
9482,14922 SE GLADSTONE ST,156000,3459.78,7000,1251,1251,2,2.0,1963,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1251,,3,0,,,,,,,,1,27
9483,14931 SE RHINE CT,192600,2910.27,6969,1040,1040,3,2.0,1986,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1040,,4,0,Composition,Wood,Garage - Attached,Heat Pump,Central,Ranch / Rambler,,1,29
9484,14940 SE BARBARA WELCH LN,131000,2914.47,0,1612,732,1,1.5,1941,1 STY W/BSMT,PLEASANT VALLEY,732,,5,0,,,,,,,,1,27
9486,15027 SE TIBBETTS ST,291000,3711.83,12200,1281,1281,3,1.5,1969,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1303,,4,0,Composition,Wood,Garage - Attached,Forced air,Central,Ranch / Rambler,"Open House SAT/SUN 1-4. Wonderful Ranch Home rests on almost 1/3 acre! Enter & enjoy open entry living. Fantastic layout features remodeled kitchen slab counters and refinished cabinetry, combo family Dining design boasts entertainment with french doors escaping to fully fenced private back yard. Newer roof, master bath remod: vanity, counters, toilet, lighting & bamboo flooring. Updated paint inside and out, solar panels, tiled entry, and freshly landscaped yard!",1,26
9487,15035 SE GLADSTONE ST,213000,2888.02,7750,903,903,3,1.0,1963,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,903,,5,0,,,,,,,,1,23
9488,15040 SE GLADSTONE ST,309000,4163.28,10070,1856,1232,3,2.0,1968,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,1856,,5,0,Composition,Wood,,Forced air,,,"Beautifully updated home just minutes from Powell Butte Park! Sitting on top an elevated .23 acre lot, the house includes wonderful updates in kitchen, bathrooms, and throughout while still maintaining the charm of original hardwood floors! All appliances as seen in listing are included. New kitchen counter tops scheduled to arrive and be installed early October.",1,24
9489,15045 SE GLADSTONE DR,324900,4222.31,8085,2059,1435,4,2.0,1968,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,2059,pleasant valley,4,0,Shake / Shingle,Wood,Garage - Attached,Forced air,,Other,"Open House 9/10 Noon to 2pm; 9/11 1pm to 3pm...Within a few blocks to Powell Butte Nature Park! Master with bath and 2 large closets. Kitchen remodeled w/many custom features - includes possible hardwoods under some carpeting in bedrooms and living room, buyer to verify; RV Parking; 7 year new comp roof, newer Milguard windows, great storage space and possible dual living.",1,27
9490,15045 SE TIBBETTS ST,325000,4160.2,10745,2415,1253,4,2.0,1933,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,2415,lynch wood,5,0,Composition,Metal,,Forced air,None,Craftsman,"WONDERFUL fully fenced 1/4 acre lot!Large updated living featuring: kitchen centered functional design, fully finished basement w/separate access perfect for additional living quarters. Home has newer carpet, newer paint, vinyl windows, peaceful laundry room, excellent storage potential, all appliances included. Garage/shop, loads of parking, large front and back yard giving the home an ""off off"" the street feel.",1,29
9491,15051 SE BUSH ST,315000,3796.28,6670,1494,1194,4,1.0,1969,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,2368,,6,0,Composition,,,Forced air,Central,,"First time on the Market since it was new in 1969!  Huge 4 Bedroom Home with a Large Living Room with Hardwoods under the carpet, Large Kitchen with attached Dining Room and slider out to a Nice Deck & Large Fully Fenced Yard. Downstairs is a Huge Family Room with a Fireplace, 4th Bedroom, Laundry Room with sink and walk out to back yard  & a 2nd Family Room Too!!",1,22
9492,15105 SE EVERGREEN DR,293000,3701.83,5932,1294,616,3,2.5,2003,2 OR MORE STY,PLEASANT VALLEY,1294,,5,0,Composition,Cement / Concrete,,Forced air,,,"Beautiful home; wood flooring on living room, large kitchen, Spacious master upstairs with walk-in closet and master bath. Fenced backyard with mature landscaping and large pond with water feature. Great for gardeners or entertaining. Great Location and neighborhood.",1,20
9493,15112 SE WOODWARD ST,262500,3027.7,7130,1128,1128,3,1.0,1966,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1128,,4,0,Composition,Wood,Garage - Attached,Forced air,Central,Ranch / Rambler,,1,21
9494,15116 SE GLADSTONE DR,329000,3638.0,8000,1856,1232,4,2.0,1967,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,1900,,4,0,Composition,Brick,Garage - Attached,Forced air,None,Split-level,"This beautiful 5 bedroom and 3 full bathroom house is fully remodeled in a nice, safe and quiet neighborhood. Walk to Powell Butte Park. It is easy to access to freeway.  Few minutes drive to Fred Meyer shopping area.  Fully refinished hardwoods, new custom cabinets, quartz counters, new stainless appliances, master suite, large bedrooms, wood fireplace, Fully fenced large private backyard. 

Year Built:1967
Heat: Gas
Cooling: Central air conditioning
Appliances: Dishwasher, electric range, Microwave, Refrigerator, Washer/Dryer 

Garage: 2 Car Garage 

Utilities: paid by tenant

Pets are ok but subject to extra security deposit and pet rent, proof of spay/neuter and owner approval.

Schools:  
Pleasant Valley Elementary School
Centennial Middle School
Centennial High School

Tenant is responsible for all the utilities.",1,24
9495,15125 SE GLADSTONE ST,375000,4133.44,8000,2256,1256,5,2.0,1967,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,2484,pleasant valley,6,0,Composition,Wood,Garage - Attached,Forced air,None,Ranch / Rambler,"Powell Butte!! Amazing view on this 5 bedroom rambler! Park your RV and grab a cup of coffee, watch the deer from your living room. Nice remodel, new paint, new flooring, custom shower, 96% efficiency  new gas furnace, new water heater,Tile counters.  Home is updated and super clean. Too much to list. Perfect location to everything. Easy freeway access. Priced to sell. Call Yanea for a showing 503.619.6027",1,28
9497,15204 SE GLADSTONE DR,204305,4219.42,9550,2495,1465,4,3.0,1967,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,2495,pleasant valley,5,0,,Other,Garage - Attached,Forced air,,,,1,22
9498,15236 SE KELLY ST,283900,3911.42,7000,1516,1516,3,2.0,1968,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1516,lynch wood,8,0,Composition,Wood,Garage - Attached,Forced air,,Ranch / Rambler,"ONE LEVEL RANCH ON CORNER LOT IN QUIET NEIGHBORHOOD! HARDWOODS & TRAVERTINE THROUGHOUT. SS APPLIANCES. VINYL WINDOWS. FAMILY ROOM W/BOX BEAM CEILINGS, BRICK FIREPLACE & FRENCH DOORS THAT OPEN OUT TO THE PEACEFUL BACKYARD W/POOL & HOT TUB. WELCOME HOME!!!",1,24
9499,15306 SE BYBEE DR,439000,5222.53,7604,1908,1105,4,3.0,2003,2 OR MORE STY,PLEASANT VALLEY,2576,pleasant valley,6,0,Composition,Stone,Garage - Attached,Forced air,Central,Craftsman,"Gorgeous Custom Home in Prestigious Hawthorne Ridge! Finished daylight basement with separate entry, 2nd Kitchen, 2nd Master, WI closet, Full bath, Wash/Dr. Bamboo floors on the main. New carpet. Central Vac. Smart Heat. Vaulted ceilings. Master Suite w/Jet tub. Huge Deck w/vine fence for extra privacy. Garden with pear, apple, and cherry trees. RV park. Sprinkles. Two beautiful parks nearby. Great home!",1,30
9500,15306 SE KNAPP DR,385000,4766.48,7604,2234,1027,4,2.5,2002,2 OR MORE STY,PLEASANT VALLEY,2234,,6,0,Composition,Cement / Concrete,Garage - Attached,Forced air,Central,Contemporary,,1,20
9501,15309 SE OGDEN DR,438000,5576.45,7606,3651,2010,4,3.0,2002,2 OR MORE STY,PLEASANT VALLEY,3684,,5,0,Composition,Vinyl,Garage - Attached,Forced air,Central,Other,"Amazing value! This immaculate home is only $121/sf! The lowest price/sf in area! 'Pride of ownership' abounds in this clean 'turn-key', move-in ready home. Open floor plan, vaulted entry with 9 foot ceilings on main level, large kitchen w/walk in pantry, formal dining, Large laundry room, separated bonus/family room perfect for movies AND huge upper loft. Mstr ste bath has heated tile floors. All this in a tranquil neighborhood.",1,21
9502,15318 SE KNAPP DR,425000,5298.13,7173,3206,1590,4,3.0,2002,2 OR MORE STY,PLEASANT VALLEY,3206,pleasant valley,5,0,Shake / Shingle,Wood,Garage - Attached,Forced air,Central,Other,"4 Bedrooms
1 Den room (Or extra bedroom)
2.5 Bathrooms
",1,28
9503,15320 SE GLADSTONE DR,368000,4559.58,9240,1856,1232,4,2.5,1968,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,2054,pleasant valley,9,0,Other,Brick,Garage - Attached,Forced air,None,Other,"This wonderful home sits on a large 9240 SF lot situated in a great neighborhood. Just a few blocks from entrance to Powell Butte Nature Park. Has attached 2 car garage, PLUS a detached custom built 2 car garage w/240v power for welders, compressors, etc. Parking for RV also. Inside, you'll find a well maintained, move in ready home w/plenty of space, nice updated kitchen w/granite slab counters and stainless appliances.",1,30
9504,15330 SE OGDEN DR,400000,5410.07,7173,3051,1570,5,2.5,2002,2 OR MORE STY,PLEASANT VALLEY,3051,,6,0,Composition,Vinyl,,Forced air,Central,,"Light and bright with beautiful views!  5 bedroom home with one bedroom on the main floor! Vaulted living room with soaring ceiling and formal dining area.  Open kitchen/family room has slider to back deck, gas stove, and gas fireplace.  Master bedroom is HUGE with a master bath including walk-in closet, shower, soak tub and private water closet. Three additional good sized bedrooms also upstairs.  Gas furnace, AC, and sprinklers!!",1,25
9505,15333 SE POWELL BLVD,280000,3415.24,18814,1458,958,2,1.0,1920,1 STY W/ATTIC & BSMT,CENTENNIAL COMMUNITY ASSOCIATION,2508,,5,0,Composition,Wood,,Forced air,None,Bungalow,"1920''s Craftsman style 2 Bed & 1 Bath, 9 ft. ceilings, original built-ins, woodwork, and windows. Doors widened. Ramp to front porch. Laundry and lots of storage space in basement. Upstairs apartment has separate access. Interior of home needs updating. 3 car shop is heated with 1/2 bath. Property fully fenced.",1,23
9510,15436 SE OGDEN DR,430000,6511.3,7859,3212,1606,4,3.5,2001,2 OR MORE STY,PLEASANT VALLEY,3212,pleasant valley,4,0,Shake / Shingle,Wood,Garage - Attached,Forced air,Central,Other,"Peaceful valley home, blocks from Clatsop Butte Park, meticously maintained with valley and mountain views. High quality finishes abound in this newer light filled home. Complete w formal living & dining, gourmet kitchen w eat area, & 2 master suites. Boasts granite counter tops, travertine tile, limestone, & marble. Private backyard offers a covered patio, pond, views, and hot tub. OPEN HOUSE SUN 10/30, 1-3",1,25
9511,15437 SE FRANCIS ST,287000,3567.56,7400,1724,1724,3,1.5,1963,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1724,,3,0,Composition,Wood,,,,,"GORGEOUS remodeled ranch on quiet dead end street. This home features all new engineered h/w flooring & carpet throughout, new vinyl windows, new quartz countertops and SS appliances, and all new tile backsplash, as well as tile shower! Backyard is where Zen meets entertainers delight, complete with firepit. All that''s left to do is move in!",1,20
9512,15438 SE RHINE ST,279900,3124.98,7712,1204,1204,3,1.0,1983,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1204,lynch wood,4,0,Shake / Shingle,Wood,Garage - Attached,Forced air,Central,Ranch / Rambler,"Remodeled Ranch style home on a quiet cul-de-sac. Open floor plan living, kitchen has been updated with modern finishes and all stainless steel appliances, recessed lighting through out, wood floors through out the living area and carpet in the bedrooms, and a private backyard with a patio.",1,29
9513,15455 SE DIVISION ST,260000,2143.98,6710,1020,1020,3,1.0,1940,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1020,,4,0,Composition,Wood,,Heat Pump,,Ranch / Rambler,"Charming home in move-in condition.  Remodeled, Newer appliances (2015), Fridge, Washer & Dryer Included.  Large fenced yard, Fantastic covered deck, Utility shed and RV parking. Convenient access to public transportation and nearby shopping.",1,30
9514,15515 SE FRANCIS ST,265000,3668.9,7100,1432,1432,3,1.0,1973,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1432,,6,0,Composition,Wood,Garage - Attached,Radiant,Wall,Ranch / Rambler,"For more info call or text Listing agent Carol Williams:  503-810-9189.  Clean, Bright, and Well Cared for! Beautiful home with great spaces for entertaining and more.  Remodeled bathroom, vinyl windows, and large family room with gas fire place add even more value! Step out to your own lovely fenced back yard oasis. RV Parking. ",1,24
9515,15516 SE EVERGREEN DR,455000,6165.45,7500,3248,1570,5,3.0,2002,2 OR MORE STY,PLEASANT VALLEY,3248,,6,0,,Vinyl,,Forced air,Central,,"Beautiful home with 3 car garage, located in a quiet neighborhood. Immaculate move-in ready, 4 large BR, office/den on main floor can be a 5th BR with WIC. Master suite has sitting area and WIC. Large loft/family room. Open floor plan, spacious kitchen and dinette, all new SS appliances, formal DR and LR. Brazilian Cherry wood floors, upgrade carpet. Deck & pergola with views and water feature.",1,23
9516,15526 SE POWELL BLVD,305000,3808.69,14375,1602,1074,3,2.0,1928,1 STY W/ATTIC & BSMT,CENTENNIAL COMMUNITY ASSOCIATION,1602,,5,0,Composition,Wood,,Forced air,Central,Tudor,"ENGLISH TUDOR w/FRESH REMODEL on HUGE Lot (or) Finish splitting rear of lot off (partition approved - needs finalizing). Lot possibly worth $75k alone! Classic charm all throughout the home. Entryway leads to a spacious living room w/wood fireplace, formal dining room, and AMAZING kitchen. The stairway leads to a unique double master with Jack & Jill bath & 3 walk in closets. RV Parking. A must see!",1,25
9517,15535 SE FRANCIS ST,213039,3155.71,6222,1300,1300,3,2.0,1977,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1300,,3,0,,,,,,,,1,27
9518,15624 SE BYBEE DR,545000,9146.95,7674,4599,1581,6,4.0,2002,2 OR MORE STY W/BSMT,PLEASANT VALLEY,4716,pleasant valley,6,0,Composition,Stucco,,Forced air,Central,Contemporary,"Spacious Hawthorne Ridge home with an excellent view and fully finished basement with large family room. Extravagant master suite with jacuzzi tub and double walk in closets. Refinished hardwoods, new carpet and paint throughout the interior. Excellent home for entertaining family and friends. Open House 8/14, 1-3pm.",1,22
9519,15625 SE OGDEN DR,400000,4971.9,7675,1875,1054,3,3.0,2002,2 OR MORE STY,PLEASANT VALLEY,1900,pleasant valley,5,0,Shake / Shingle,Wood,Garage - Attached,Forced air,None,Other,"Beautiful home in amazing n/hood! Sits up high with a mountain view! Large rooms & tons of storage! Gorgeous kitchen w/granite counters! Coved ceilings, crown molding, wainscoating, kitchen cook island, pantry, fam rm w/ fireplace! So much! But the yard! Wow! It''s a paradise! The owner had made this yard absolutely perfect! Paths, stone walls, water feature, plants, trees, patio and deck! It''s a 10!",1,29
9521,15704 SE FLAVEL DR,330000,5526.35,6031,2006,2006,3,2.0,2000,1 STY,PLEASANT VALLEY,2006,pleasant valley,4,0,Composition,Wood,Garage - Attached,Forced air,Central,Ranch / Rambler,"Well established neighborhood in Hawthorne Ridge SE Portland.
Local greenspace with playground within walking distance.
Single level ranch. 2 gas fireplaces that can be seen from multiple areas of the home. Vaulted Ceilings, fully fenced yard, with room for garden boxes. Gas forced air and A/C. 1/2 of the home is carpet and the other 1/2 is hardwood flooring. Quartz countertops with subway splash. New appliances including washer and dryer. Landlord pays yard service.

Landlord pays yard service. Credit score of 620 or higher required. Email for screening criteria.",1,24
9522,15722 SE BYBEE DR,440000,5679.75,8866,2683,1759,4,3.0,1999,1 STY W/BSMT,PLEASANT VALLEY,2683,pleasant valley,6,0,Composition,Wood,Garage - Attached,Forced air,Central,Other,"Master on the main floor. Light and bright with high ceilings and lots of windows. Enjoy the view from the living and dining rooms. Spacious deck accessible in master suite, too. Open floorplan with large familyroom/game room on lower level. Main floor with tile and wood floors. Open Tuesday, May 9, noon to 2pm.",1,30
9523,15729 SE OGDEN DR,391500,5510.33,7675,2348,878,3,3.0,2002,2 OR MORE STY W/BSMT,PLEASANT VALLEY,2348,,6,0,Shake / Shingle,Stucco,Garage - Attached,Forced air,Central,Other,"3Bd 2.5 bths.
2348 Sqftg
Beautifully Landscaped
Central A/C & Vac.System
Craftsman Quality
HUGE Bonus Room(34x14
Sprinkler System
Granite Countertops
Custom Cabinetry
A Must See!!!
",1,23
9524,15731 SE DIVISION ST,384000,4457.09,12834,2877,2277,4,2.0,1953,1 STY W/BSMT,CENTENNIAL COMMUNITY ASSOCIATION,3630,,6,0,Composition,Wood,,Forced air,,Other,"Built for live and work situation with great exposure on high traffic Division Street. City approved for home business. 1000sqft of working space that was previously a hair salon. CCTV throughout property ready for starting your new business. Newly remodeled kitchen with all newer stainless steel appliances, and newly remodeled kitchen. 3 bedrooms on main floor and 1 bedroom on lower floor, with potential to make a bonus room into two more bedrooms to a total of 6 bedrooms (3 on main level and potentially 3 in the basement). Comes with front loading washer and dryer. Zoned R3 with potential for additional houses in the front and back. ",1,21
9529,15783 SE CLATSOP ST,399999,4809.99,55757,1784,1448,3,2.0,1951,1 STY W/ATTIC,PLEASANT VALLEY,2106,pleasant valley,5,0,Composition,Cement / Concrete,Garage - Attached,Forced air,Central,Bungalow,"Charming remodel boasts granite counter tops, stunning original refinished hardwood floors, brand new stainless steel GE appliances, full height tile back splash, designer bathroom tile, bronze fixtures, central air, new windows, brand new septic and sand filter system. 1.28 acres zoned R10 and possibly  dividable. Buyer to do own due diligence.",1,23
9530,15817 SE KELLY ST,285000,3143.4,7884,1254,1254,3,1.5,1973,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1254,lynch wood,3,0,Composition,,,Forced air,Central,,"Cute, Clean and Comfortable this well maintained three bedroom two bath ranch in a very nice neighborhood is ready for you.Nicely remodeled kitchen, newer roof, newer vinyl windows,central A/C and a remote gas fireplace.Outbuildings include a chicken coupe. Turn key and ready to go. See VIRTUAL TOUR! Ask about 100% Financing!",1,26
9531,15901 SE TIBBETTS ST,243000,2682.15,7020,864,864,3,1.0,1963,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,864,lynch wood,4,0,Composition,Cement / Concrete,Garage - Attached,Forced air,,Ranch / Rambler,"Cute, one level ranch on a sprawling lot - perfect for garden lovers! This little gem boasts hardwoods & a wood burning fireplace. Sweet & clean kitchen has a sunny garden window, and the buttoned-up garage makes a great workspace. Stellar covered patio off dining area is perfect for year-long use & entertainment. This home could also be a great investment; it''s currently rented to tenants who would love to stay.",1,26
9532,15916 SE BYBEE DR,426000,6192.46,12014,2812,2812,4,2.0,1999,1 STY,PLEASANT VALLEY,2676,,3,0,Composition,Cement / Concrete,,Forced air,Central,,"Fantastic view of 4 mountains from this spacious 1 level ranch.Bright & Open floor plan w great room concept kitchen that opens to a cozy family rm w fireplace. Hardwoods, Vaulted Ceilings. Formal Liv & Din rm accommodates for get togethers & a 1,000sf Deck w views provides for a relaxing sunrise or entertainment. Master suite w jetted tub, walk-in closet and a deck.Ton of storage space in the tall crawlspace and a 3c garage for toys",1,24
9533,15938 SE HENDERSON WAY,438000,5994.6,10824,2414,1371,3,2.5,1999,2 OR MORE STY,PLEASANT VALLEY,2414,pleasant valley,6,0,Composition,Wood,Garage - Attached,Forced air,Central,Contemporary,"WELCOME HOME! Situated in highly desired Hawthorne Ridge! Quality built home with an open & bright floor plan! High ceilings, all appliances included, big great room concept, two cozy fireplaces, 3 bedrooms plus office and enormous bonus room- could be a 4th bedroom, 2 1/2 bathrooms, spacious master, 3 car garage, fenced corner lot, water feature, A/C, central Vac, plus so very much more! !",1,31
9536,16007 SE POWELL BLVD,157500,2689.07,7746,1466,966,3,1.0,1947,1 STY W/ATTIC & BSMT,CENTENNIAL COMMUNITY ASSOCIATION,1966,,6,0,,,,,,,,1,25
9537,16010 SE BROOKLYN ST,207000,3278.45,9108,1395,1395,3,2.5,1974,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1395,lynch wood,4,0,,Other,,Forced air,Central,,,1,27
9538,16024 SE KELLY ST,275000,3288.58,8208,1389,1389,3,2.0,1912,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1507,lynch wood,5,0,Composition,Vinyl,Garage - Attached,Forced air,Central,Ranch / Rambler,"Complete Remodel
Like NEW
Must be seen to appreciate. Outside pictures do not do the interior of the house any justice. 
Beautiful Remodeled home, tastefully done, with lots of open room space concept.
Large fenced back yard
Newer  large wooden  storage building.


",1,27
